"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",166763,144072.9,86.39,5265957,NA,0
"2","Brazil",102034,84962,83.27,3068138,NA,0
"3","India",46185,77478.2,167.76,2325026,3971239.3,170.8
"4","Russia",15131,0,0,897599,0,0
"5","South Africa",10621,33.9,0.32,563598,NA,0
"6","Mexico",53003,49698,93.76,485836,456100,93.88
"7","Peru",21276,21064,99,483133,477914.9,98.92
"8","Colombia",13154,0,0,397623,0,0
"9","Chile",10178,10011,98.36,376616,NA,0
"10","Spain",28581,28627.9,100.16,373692,234823.9,62.84
"11","Iran",18800,0,0,331189,0,0
"12","England",46526,29419.3,63.23,311641,NA,0
"13","Saudi Arabia",3233,0,0,291468,0,0
"14","Pakistan",6112,3376,55.24,285191,161152.2,56.51
"15","Bangladesh",3471,3438,99.05,263503,260507,98.86
"16","Argentina",4785,1809.2,37.81,253868,95671,37.69
"17","Italy",35215,34211,97.15,251237,246428,98.09
"18","Turkey",5858,5612.9,95.82,241997,227106.9,93.85
"19","Germany",9267,9196.2,99.24,219229,215890.9,98.48
"20","France",30340,19570.2,64.5,202775,NA,0
"21","Iraq",5531,0,0,156995,0,0
"22","Philippines",2312,2194.9,94.94,139538,129912.9,93.1
"23","Indonesia",5824,5765,98.99,128776,127083.1,98.69
"24","Canada",8988,3765,41.89,120256,59843,49.76
"25","Qatar",188,0,0,113646,0,0
"26","Kazakhstan",1269,0,0,100164,0,0
"27","Egypt",5035,0,0,95666,0,0
"28","Ecuador",5932,507.2,8.55,94701,9620.9,10.16
"29","Bolivia",3712,34.1,0.92,91635,597.9,0.65
"30","Israel",619,236,38.13,85354,NA,0
"31","Sweden",5770,5766,99.93,83126,82971.9,99.81
"32","Ukraine",1951,0,0,83115,0,0
"33","Oman",533,0,0,82050,0,0
"34","Dominican Republic",1346,615,45.69,81094,23686,29.21
"35","Panama",1664,720,43.27,75394,36982.9,49.05
"36","Belgium",9879,9870,99.91,74620,74010.9,99.18
"37","Kuwait",486,0,0,73068,0,0
"38","Belarus",592,0,0,69005,0,0
"39","Romania",2764,371.9,13.46,63762,7216,11.32
"40","UAE",358,0,0,62966,0,0
"41","Netherlands",6159,6157,99.97,59973,59185.1,98.69
"42","Guatemala",2222,0,0,56987,0,0
"43","Singapore",27,0,0,55353,0,0
"44","Poland",1821,0,0,52961,0,0
"45","Portugal",1761,1725.1,97.96,52945,50538.8,95.46
"46","Japan",1047,624,59.6,47990,16073.9,33.49
"47","Honduras",1506,0,0,47872,0,0
"48","Nigeria",950,0,0,46867,0,0
"49","Bahrain",165,0,0,44397,0,0
"50","Ghana",215,0,0,41404,0,0
"51","Armenia",803,0,0,40593,0,0
"52","Kyrgyzstan",1478,0,0,40455,0,0
"53","Afghanistan",1344,977.1,72.7,37269,34937,93.74
"54","Switzerland",1990,1686,84.72,36895,32958.9,89.33
"55","Algeria",1322,851.9,64.44,36204,11920,32.92
"56","Morocco",516,0,0,34063,0,0
"57","Azerbaijan",495,0,0,33731,0,0
"58","Uzbekistan",204,0,0,31747,0,0
"59","Serbia",652,0,0,28497,0,0
"60","Moldova",857,0,0,28223,0,0
"61","Kenya",438,121,27.63,27425,4477.8,16.33
"62","Venezuela",229,0,0,26800,0,0
"63","Ireland",1772,1343,75.79,26768,24569,91.78
"64","Ethiopia",440,5,1.14,24175,209.9,0.87
"65","Nepal",83,0,0,23948,0,0
"66","Costa Rica",244,235,96.31,23872,23286.1,97.55
"67","Austria",723,711.1,98.35,22245,22074,99.23
"68","Australia",331,302.1,91.27,21713,21296,98.08
"69","El Salvador",570,42,7.37,21269,NA,0
"70","Czechia",391,381,97.44,18678,15847,84.84
"71","Cameroon",395,17.8,4.51,18042,870.1,4.82
"72","Ivory Coast",105,0,0,16798,0,0
"73","Denmark",621,599.9,96.6,14959,12344,82.52
"74","Palestine",103,0,0,14875,0,0
"75","Bosnia and Herzegovina",447,0,0,14708,0,0
"76","South Korea",305,282.1,92.49,14660,12715,86.73
"77","Bulgaria",459,0,0,13512,0,0
"78","Madagascar",152,0,0,13317,0,0
"79","North Macedonia",529,0,0,12083,0,0
"80","Sudan",786,0,0,12033,0,0
"81","Senegal",238,0,0,11380,0,0
"82","Norway",256,243.9,95.27,9712,8708,89.66
"83","DRC",225,0,0,9499,0,0
"84","Malaysia",125,0,0,9103,0,0
