"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",94948,68998,72.67,1593297,NA,0
"2","Russia",3099,0,0,317554,0,0
"3","Brazil",18894,9228,48.84,293357,NA,0
"4","Spain",27888,27649.9,99.15,279524,231350,82.77
"5","UK",35704,0,0,248293,0,0
"6","Italy",32330,30332,93.82,227364,224070.9,98.55
"7","France",28132,16084.2,57.17,181575,NA,0
"8","Germany",8270,8089.9,97.82,178531,176006.9,98.59
"9","Turkey",4222,0,0,152587,0,0
"10","Iran",7249,0,0,129341,0,0
"11","India",3438,5627.9,163.7,112442,183943.1,163.59
"12","Peru",3024,0,0,104020,0,0
"13","Canada",6031,3765,62.43,80142,59843.1,74.67
"14","Saudi Arabia",339,0,0,62545,0,0
"15","Mexico",6090,5332,87.55,56594,51633,91.23
"16","Belgium",9186,9021.9,98.21,56235,55157,98.08
"17","Chile",544,207,38.05,53617,NA,0
"18","Pakistan",1017,1188.1,116.82,48091,51674.3,107.45
"19","Netherlands",5748,5694,99.06,44447,44141,99.31
"20","Qatar",16,0,0,37097,0,0
"21","Ecuador",2888,507,17.56,34854,9620.8,27.6
"22","Belarus",185,0,0,33371,0,0
"23","Sweden",3831,3831.1,100,31523,31523,100
"24","Switzerland",1893,1518,80.19,30694,30141.5,98.2
"25","Singapore",22,0,0,29812,0,0
"26","Portugal",1263,470,37.21,29660,15987,53.9
"27","Bangladesh",408,0,0,28511,0,0
"28","UAE",233,0,0,26004,0,0
"29","Ireland",1571,897.1,57.1,24315,19094.8,78.53
"30","Indonesia",1278,0,0,20162,0,0
"31","Poland",965,0,0,19983,0,0
"32","Ukraine",579,0,0,19706,0,0
"33","South Africa",339,34.1,10.06,18003,NA,0
"34","Colombia",630,358,56.83,17687,7972.9,45.08
"35","Romania",1151,42.9,3.73,17585,1759.9,10.01
"36","Kuwait",124,0,0,17568,0,0
"37","Israel",279,0,0,16670,0,0
"38","Austria",633,599,94.63,16404,16240,99
"39","Japan",771,624.1,80.95,16385,16074,98.1
"40","Egypt",680,0,0,14229,0,0
"41","Dominican Republic",446,0,0,13477,0,0
"42","Philippines",846,0,0,13434,0,0
"43","South Korea",264,262.9,99.58,11122,11110.1,99.89
