"","country","sex","time","age.code","sle_un"
"1","Algeria","female","2015-2020",0,77.84
"2","Algeria","female","2015-2020",5,74.51
"3","Algeria","female","2015-2020",10,69.65
"4","Algeria","female","2015-2020",15,64.76
"5","Algeria","female","2015-2020",20,59.9
"6","Algeria","female","2015-2020",25,55.04
"7","Algeria","female","2015-2020",30,50.21
"8","Algeria","female","2015-2020",35,45.41
"9","Algeria","female","2015-2020",40,40.68
"10","Algeria","female","2015-2020",45,36.02
"11","Algeria","female","2015-2020",50,31.45
"12","Algeria","female","2015-2020",55,26.98
"13","Algeria","female","2015-2020",60,22.65
"14","Algeria","female","2015-2020",65,18.52
"15","Algeria","female","2015-2020",70,14.6
"16","Algeria","female","2015-2020",75,11.05
"17","Algeria","female","2015-2020",80,8.02
"18","Algeria","female","2015-2020",85,5.67
"19","Algeria","female","2015-2020",90,3.99
"20","Algeria","female","2015-2020",95,2.86
"21","Argentina","female","2015-2020",0,79.8
"22","Argentina","female","2015-2020",5,75.68
"23","Argentina","female","2015-2020",10,70.74
"24","Argentina","female","2015-2020",15,65.81
"25","Argentina","female","2015-2020",20,60.94
"26","Argentina","female","2015-2020",25,56.06
"27","Argentina","female","2015-2020",30,51.2
"28","Argentina","female","2015-2020",35,46.37
"29","Argentina","female","2015-2020",40,41.59
"30","Argentina","female","2015-2020",45,36.88
"31","Argentina","female","2015-2020",50,32.32
"32","Argentina","female","2015-2020",55,27.88
"33","Argentina","female","2015-2020",60,23.64
"34","Argentina","female","2015-2020",65,19.58
"35","Argentina","female","2015-2020",70,15.74
"36","Argentina","female","2015-2020",75,12.17
"37","Argentina","female","2015-2020",80,9.02
"38","Argentina","female","2015-2020",85,6.45
"39","Argentina","female","2015-2020",90,4.51
"40","Argentina","female","2015-2020",95,3.12
"41","Australia","female","2015-2020",0,85.22
"42","Australia","female","2015-2020",5,80.5
"43","Australia","female","2015-2020",10,75.53
"44","Australia","female","2015-2020",15,70.56
"45","Australia","female","2015-2020",20,65.63
"46","Australia","female","2015-2020",25,60.7
"47","Australia","female","2015-2020",30,55.77
