"","country","sex","time","age.code","sle_un"
"1","Algeria","male","2015-2020",0,75.39
"2","Algeria","male","2015-2020",5,72.56
"3","Algeria","male","2015-2020",10,67.74
"4","Algeria","male","2015-2020",15,62.89
"5","Algeria","male","2015-2020",20,58.1
"6","Algeria","male","2015-2020",25,53.37
"7","Algeria","male","2015-2020",30,48.65
"8","Algeria","male","2015-2020",35,43.93
"9","Algeria","male","2015-2020",40,39.24
"10","Algeria","male","2015-2020",45,34.6
"11","Algeria","male","2015-2020",50,30.08
"12","Algeria","male","2015-2020",55,25.7
"13","Algeria","male","2015-2020",60,21.53
"14","Algeria","male","2015-2020",65,17.63
"15","Algeria","male","2015-2020",70,13.98
"16","Algeria","male","2015-2020",75,10.71
"17","Algeria","male","2015-2020",80,7.95
"18","Algeria","male","2015-2020",85,5.79
"19","Algeria","male","2015-2020",90,4.21
"20","Algeria","male","2015-2020",95,3.11
"21","Argentina","male","2015-2020",0,73
"22","Argentina","male","2015-2020",5,68.94
"23","Argentina","male","2015-2020",10,64
"24","Argentina","male","2015-2020",15,59.09
"25","Argentina","male","2015-2020",20,54.39
"26","Argentina","male","2015-2020",25,49.81
"27","Argentina","male","2015-2020",30,45.18
"28","Argentina","male","2015-2020",35,40.53
"29","Argentina","male","2015-2020",40,35.88
"30","Argentina","male","2015-2020",45,31.3
"31","Argentina","male","2015-2020",50,26.86
"32","Argentina","male","2015-2020",55,22.67
"33","Argentina","male","2015-2020",60,18.85
"34","Argentina","male","2015-2020",65,15.36
"35","Argentina","male","2015-2020",70,12.26
"36","Argentina","male","2015-2020",75,9.48
"37","Argentina","male","2015-2020",80,7.1
"38","Argentina","male","2015-2020",85,5.2
"39","Argentina","male","2015-2020",90,3.76
"40","Argentina","male","2015-2020",95,2.72
"41","Australia","male","2015-2020",0,81.21
"42","Australia","male","2015-2020",5,76.53
"43","Australia","male","2015-2020",10,71.56
"44","Australia","male","2015-2020",15,66.59
"45","Australia","male","2015-2020",20,61.71
"46","Australia","male","2015-2020",25,56.88
"47","Australia","male","2015-2020",30,52.05
"48","Australia","male","2015-2020",35,47.24
"49","Australia","male","2015-2020",40,42.48
"50","Australia","male","2015-2020",45,37.76
"51","Australia","male","2015-2020",50,33.12
