"","Country","Sex","val_med_year","val_max_year"
"1125","Algeria","b","2004","1991"
"1124","Algeria","f","2004","1991"
"1123","Algeria","m","2004","1991"
"516","Argentina","b","2005","2011"
"515","Argentina","f","2005","2011"
"514","Argentina","m","2005","2011"
"450","Australia","b","1995","2003"
"449","Australia","f","1995","2003"
"448","Australia","m","1995","2003"
"1254","Austria","b","2004","1990"
"1253","Austria","f","2004","1990"
"1252","Austria","m","2004","1990"
"1086","Bangladesh","b","2003","1991"
"1085","Bangladesh","f","2003","1991"
"1084","Bangladesh","m","2003","1991"
"453","Belgium","b","1995","2003"
"452","Belgium","f","1995","2003"
"451","Belgium","m","1995","2003"
"501","Bolivia","b","2004","1991"
"500","Bolivia","f","2004","1991"
"499","Bolivia","m","2004","1991"
"177","Brazil","b","2004","1991"
"176","Brazil","f","2004","1991"
"175","Brazil","m","2004","1991"
"1044","Cameroon","b","2004","1999"
"1043","Cameroon","f","2004","1999"
"1042","Cameroon","m","2004","1999"
"633","Canada","b","2005","1998"
"632","Canada","f","2005","1998"
"631","Canada","m","2005","1998"
"336","Chile","b","2004","1990"
"335","Chile","f","2004","1990"
"334","Chile","m","2004","1990"
"546","China","b","2004","1990"
"545","China","f","2004","1990"
"544","China","m","2004","1990"
"816","Czechia","b","1990","2009"
"815","Czechia","f","1990","2009"
"814","Czechia","m","1990","2009"
"1563","Denmark","b","1998","1993"
"1562","Denmark","f","1998","1993"
"1561","Denmark","m","1998","1993"
"735","Dominican Republic","b","2005","1991"
"734","Dominican Republic","f","2005","1991"
"733","Dominican Republic","m","2005","1991"
"108","Ecuador","b","2008","1992"
"107","Ecuador","f","2008","1992"
"106","Ecuador","m","2008","1992"
"7143","England","b","2004","1997"
"7142","England","f","2004","1997"
"7141","England","m","2004","1997"
"459","Finland","b","2004","1997"
"458","Finland","f","2004","1997"
"457","Finland","m","2004","1997"
"888","France","b","2005","1998"
"887","France","f","2005","1998"
"886","France","m","2005","1998"
"465","Germany","b","2013","2009"
"464","Germany","f","2013","2009"
"463","Germany","m","2013","2009"
"480","Greece","b","2016","2005"
"479","Greece","f","2016","2005"
"478","Greece","m","2016","2005"
"978","India","b","2003","1991"
"977","India","f","2003","1991"
"976","India","m","2003","1991"
"468","Ireland","b","2004","1999"
"467","Ireland","f","2004","1999"
"466","Ireland","m","2004","1999"
"1329","Israel","b","2002","2008"
"1328","Israel","f","2002","2008"
"1327","Israel","m","2002","2008"
"486","Italy","b","1995","1991"
"485","Italy","f","1995","1991"
"484","Italy","m","1995","1991"
"1293","Japan","b","2001","2010"
"1292","Japan","f","2001","2010"
"1291","Japan","m","2001","2010"
"702","Mexico","b","2004","1991"
"701","Mexico","f","2004","1991"
"700","Mexico","m","2004","1991"
"81","Netherlands","b","1993","2000"
"80","Netherlands","f","1993","2000"
"79","Netherlands","m","1993","2000"
"324","New Zealand","b","2004","1990"
"323","New Zealand","f","2004","1990"
"322","New Zealand","m","2004","1990"
"282","Norway","b","2005","1990"
"281","Norway","f","2005","1990"
"280","Norway","m","2005","1990"
"252","Pakistan","b","2004","1991"
"251","Pakistan","f","2004","1991"
"250","Pakistan","m","2004","1991"
"138","Panama","b","2005","2009"
"137","Panama","f","2005","2009"
"136","Panama","m","2005","2009"
"552","Peru","b","2004","1991"
"551","Peru","f","2004","1991"
"550","Peru","m","2004","1991"
"213","Philippines","b","2008","1991"
"212","Philippines","f","2008","1991"
"211","Philippines","m","2008","1991"
"441","Portugal","b","1991","1999"
"440","Portugal","f","1991","1999"
"439","Portugal","m","1991","1999"
"945","Romania","b","2004","1990"
"944","Romania","f","2004","1990"
"943","Romania","m","2004","1990"
"675","South Africa","b","2006","1991"
"674","South Africa","f","2006","1991"
"673","South Africa","m","2006","1991"
"1218","South Korea","b","1999","1990"
"1217","South Korea","f","1999","1990"
"1216","South Korea","m","1999","1990"
"399","Spain","b","2014","2005"
"398","Spain","f","2014","2005"
"397","Spain","m","2014","2005"
"279","Sweden","b","2004","1990"
"278","Sweden","f","2004","1990"
"277","Sweden","m","2004","1990"
"87","Switzerland","b","2004","1991"
"86","Switzerland","f","2004","1991"
"85","Switzerland","m","2004","1991"
"510","USA","b","2003","1998"
"509","USA","f","2003","1998"
"508","USA","m","2003","1998"
