"","Country","Year","Age","Female","Male","Total"
"1","Belgium","2017",0,59474,62381,121855
"2","Belgium","2017",5,249037,261020,510057
"3","Belgium","2017",10,326382,342080,668462
"4","Belgium","2017",15,308128,322915,631043
"5","Belgium","2017",20,309290,325431,634721
"6","Belgium","2017",25,336075,348683,684758
"7","Belgium","2017",30,369583,372726,742309
"8","Belgium","2017",35,364515,366762,731277
"9","Belgium","2017",40,372619,377326,749945
"10","Belgium","2017",45,365090,374370,739460
"11","Belgium","2017",50,388659,399283,787942
"12","Belgium","2017",55,404855,413716,818571
"13","Belgium","2017",60,388026,386199,774225
"14","Belgium","2017",65,348949,337988,686937
"15","Belgium","2017",70,314410,294871,609281
"16","Belgium","2017",75,254699,224365,479064
"17","Belgium","2017",80,212206,167230,379436
"18","Belgium","2017",85,189002,127680,316682
"19","Belgium","2017",90,134001.49,71507.6,205509.09
"20","Belgium","2017",95,77288.57,28379.34,105667.91
"21","Czechia","2017",0,54787,57757,112544
"22","Czechia","2017",5,215647,226643,442290
"23","Czechia","2017",10,289609,303559,593168
"24","Czechia","2017",15,242584,256689,499273
"25","Czechia","2017",20,223242,235431,458673
"26","Czechia","2017",25,270493,283208,553701
"27","Czechia","2017",30,335210,350383,685593
"28","Czechia","2017",35,354183,376224,730407
"29","Czechia","2017",40,411784,436905,848689
"30","Czechia","2017",45,444616,469722,914338
"31","Czechia","2017",50,347702,365300,713002
"32","Czechia","2017",55,342292,352551,694843
"33","Czechia","2017",60,317249,314173,631422
"34","Czechia","2017",65,369558,342397,711955
"35","Czechia","2017",70,372068,319288,691356
"36","Czechia","2017",75,300627,232026,532653
"37","Czechia","2017",80,202476,137596,340072
"38","Czechia","2017",85,146129,83098,229227
"39","Czechia","2017",90,94723.34,43573.88,138297.22
"40","Czechia","2017",95,43152.58,14167.04,57319.62
"41","Denmark","2017",0,30054,31971,62025
"42","Denmark","2017",5,114829,121209,236038
"43","Denmark","2017",10,159967,168476,328443
"44","Denmark","2017",15,163401,171661,335062
"45","Denmark","2017",20,170361,178989,349350
"46","Denmark","2017",25,191188,200134,391322
"47","Denmark","2017",30,183135,190982,374117
"48","Denmark","2017",35,162239,168307,330546
"49","Denmark","2017",40,170741,172682,343423
"50","Denmark","2017",45,193540,194331,387871
"51","Denmark","2017",50,195034,198807,393841
"52","Denmark","2017",55,207912,211581,419493
"53","Denmark","2017",60,181030,181180,362210
"54","Denmark","2017",65,171723,168133,339856
"55","Denmark","2017",70,169882,162414,332296
"56","Denmark","2017",75,161669,150619,312288
"57","Denmark","2017",80,108267,92600,200867
"58","Denmark","2017",85,74391,55736,130127
"59","Denmark","2017",90,46982,28226,75208
"60","Denmark","2017",95,32224,12142,44366
"61","England","2017",0,338257.18,355815.18,694072.36
"62","England","2017",5,1381657.66,1454019.56,2835677.22
"63","England","2017",10,1759742.03,1846125.68,3605867.71
"64","England","2017",15,1585650.24,1663249.72,3248899.96
"65","England","2017",20,1591852.81,1672713.84,3264566.65
"66","England","2017",25,1768234.72,1858240.92,3626475.64
"67","England","2017",30,1953473.41,1992351.97,3945825.38
"68","England","2017",35,1952570.38,1944997.53,3897567.91
"69","England","2017",40,1884882.3,1870018.5,3754900.8
"70","England","2017",45,1833911.33,1811771.96,3645683.29
"71","England","2017",50,2053603.15,2003374.27,4056977.42
"72","England","2017",55,2076038.8,2018482.89,4094521.69
"73","England","2017",60,1831198.97,1789501.46,3620700.43
"74","England","2017",65,1594724.58,1534228.59,3128953.17
"75","England","2017",70,1620052.41,1524807.75,3144860.16
"76","England","2017",75,1380992,1267176.04,2648168.04
"77","England","2017",80,1032939.92,884038.54,1916978.46
"78","England","2017",85,812306.91,627353.62,1439660.53
"79","England","2017",90,549323.76,348198.88,897522.64
"80","England","2017",95,360198.01,158375.99,518574
"81","Finland","2017",0,26159,26996,53155
"82","Finland","2017",5,114337,120045,234382
"83","Finland","2017",10,150987,157910,308897
"84","Finland","2017",15,145625,152119,297744
"85","Finland","2017",20,145470,153194,298664
"86","Finland","2017",25,163243,171797,335040
"87","Finland","2017",30,169295,178544,347839
"88","Finland","2017",35,172559,184004,356563
"89","Finland","2017",40,168331,178273,346604
"90","Finland","2017",45,157901,166845,324746
"91","Finland","2017",50,167853,171965,339818
"92","Finland","2017",55,185371,187364,372735
"93","Finland","2017",60,184207,181217,365424
"94","Finland","2017",65,190327,181384,371711
