"","Country","Year","Age","Female","Male","Total"
"221","Afghanistan",1997,0,1703418,1811602,3515020
"222","Afghanistan",1997,5,1345949,1463449,2809398
"223","Afghanistan",1997,10,1113734,1222135,2335869
"224","Afghanistan",1997,15,918845,1016028,1934873
"225","Afghanistan",1997,20,744539,820453,1564992
"226","Afghanistan",1997,25,604642,661567,1266209
"227","Afghanistan",1997,30,493331,538299,1031630
"228","Afghanistan",1997,35,408266,442658,850924
"229","Afghanistan",1997,40,339432,363770,703202
"230","Afghanistan",1997,45,305389,295750,601139
"231","Afghanistan",1997,50,222513,237862,460375
"232","Afghanistan",1997,55,171354,176981,348335
"233","Afghanistan",1997,60,129331,130445,259776
"234","Afghanistan",1997,65,95626,98706,194332
"235","Afghanistan",1997,70,65558,63241,128799
"236","Afghanistan",1997,75,35951,32394,68345
"237","Afghanistan",1997,80,15624,13538,29162
"238","Afghanistan",1997,85,3956,3271,7227
"239","Afghanistan",1997,90,490,425,915
"240","Afghanistan",1997,95,87,53,140
"241","Albania",1991,0,188264,201978,390242
"242","Albania",1991,5,170479,183918,354397
"243","Albania",1991,10,160551,171807,332358
"244","Albania",1991,15,155994,164207,320201
"245","Albania",1991,20,149349,155586,304935
"246","Albania",1991,25,146685,151423,298108
"247","Albania",1991,30,127471,130679,258150
"248","Albania",1991,35,101895,104036,205931
"249","Albania",1991,40,78895,84267,163162
"250","Albania",1991,45,69185,77527,146712
"251","Albania",1991,50,62773,71262,134035
"252","Albania",1991,55,49950,57324,107274
"253","Albania",1991,60,42860,47138,89998
"254","Albania",1991,65,34629,30572,65201
"255","Albania",1991,70,27052,23913,50965
"256","Albania",1991,75,19595,15715,35310
"257","Albania",1991,80,11910,7924,19834
"258","Albania",1991,85,4320,2685,7005
"259","Albania",1991,90,1294,707,2001
"260","Albania",1991,95,162,89,251
"261","Algeria",1991,0,1942453,2028375,3970828
"262","Algeria",1991,5,1863616,1940746,3804362
"263","Algeria",1991,10,1660376,1730639,3391015
"264","Algeria",1991,15,1408300,1466856,2875156
"265","Algeria",1991,20,1188893,1240598,2429491
"266","Algeria",1991,25,1005956,1049898,2055854
"267","Algeria",1991,30,808525,844647,1653172
"268","Algeria",1991,35,672423,699864,1372287
"269","Algeria",1991,40,449392,455694,905086
"270","Algeria",1991,45,369576,351353,720929
"271","Algeria",1991,50,339515,315890,655405
"272","Algeria",1991,55,300430,293698,594128
"273","Algeria",1991,60,242629,223231,465860
"274","Algeria",1991,65,172989,157664,330653
"275","Algeria",1991,70,141010,119708,260718
"276","Algeria",1991,75,88826,69315,158141
"277","Algeria",1991,80,49416,35562,84978
"278","Algeria",1991,85,14602,10482,25084
"279","Algeria",1991,90,3332,2002,5334
"280","Algeria",1991,95,248,143,391
"281","Argentina",2011,0,1769816,1836187,3606003
"282","Argentina",2011,5,1742274,1805900,3548174
"283","Argentina",2011,10,1716690,1776733,3493423
"284","Argentina",2011,15,1747745,1796869,3544614
"285","Argentina",2011,20,1665008,1680853,3345861
"286","Argentina",2011,25,1580816,1573057,3153873
"287","Argentina",2011,30,1586584,1546118,3132702
"288","Argentina",2011,35,1380905,1311913,2692818
"289","Argentina",2011,40,1229153,1150492,2379645
"290","Argentina",2011,45,1165273,1077806,2243079
"291","Argentina",2011,50,1069708,987932,2057640
"292","Argentina",2011,55,985477,899824,1885301
"293","Argentina",2011,60,871903,771384,1643287
"294","Argentina",2011,65,722371,595602,1317973
"295","Argentina",2011,70,596756,446618,1043374
"296","Argentina",2011,75,497082,326417,823499
"297","Argentina",2011,80,373315,198259,571574
"298","Argentina",2011,85,203755,87168,290923
"299","Argentina",2011,90,74531,24900,99431
"300","Argentina",2011,95,17838,4719,22557
"301","Australia",2003,0,617500,651143,1268643
"302","Australia",2003,5,640805,686110,1326915
"303","Australia",2003,10,673140,729628,1402768
"304","Australia",2003,15,673639,716277,1389916
"305","Australia",2003,20,691498,721124,1412622
"306","Australia",2003,25,661845,664101,1325946
"307","Australia",2003,30,759970,752140,1512110
