"","Country","Year","Age","Female","Male","Total"
"221","Afghanistan",2002,0,2042084,2124163,4166247
"222","Afghanistan",2002,5,1603445,1688904,3292349
"223","Afghanistan",2002,10,1296308,1405116,2701424
"224","Afghanistan",2002,15,1042985,1149709,2192694
"225","Afghanistan",2002,20,831930,921620,1753550
"226","Afghanistan",2002,25,680892,734778,1415670
"227","Afghanistan",2002,30,562956,599498,1162454
"228","Afghanistan",2002,35,461895,492828,954723
"229","Afghanistan",2002,40,381650,405623,787273
"230","Afghanistan",2002,45,314363,329054,643417
"231","Afghanistan",2002,50,279119,259969,539088
"232","Afghanistan",2002,55,198274,203128,401402
"233","Afghanistan",2002,60,147831,145570,293401
"234","Afghanistan",2002,65,105589,100139,205728
"235","Afghanistan",2002,70,72078,69663,141741
"236","Afghanistan",2002,75,43206,38817,82023
"237","Afghanistan",2002,80,18798,15536,34334
"238","Afghanistan",2002,85,5957,4631,10588
"239","Afghanistan",2002,90,1007,708,1715
"240","Afghanistan",2002,95,82,54,136
"241","Albania",2004,0,103875,115530,219405
"242","Albania",2004,5,133244,145086,278330
"243","Albania",2004,10,154756,165542,320298
"244","Albania",2004,15,157519,160435,317954
"245","Albania",2004,20,129889,120160,250049
"246","Albania",2004,25,102159,89462,191621
"247","Albania",2004,30,98333,89306,187639
"248","Albania",2004,35,106503,96565,203068
"249","Albania",2004,40,113556,109736,223292
"250","Albania",2004,45,101157,106738,207895
"251","Albania",2004,50,81951,89766,171717
"252","Albania",2004,55,63160,73122,136282
"253","Albania",2004,60,53675,63186,116861
"254","Albania",2004,65,47950,52506,100456
"255","Albania",2004,70,35861,37281,73142
"256","Albania",2004,75,26293,23381,49674
"257","Albania",2004,80,15143,9199,24342
"258","Albania",2004,85,7280,3938,11218
"259","Albania",2004,90,2215,925,3140
"260","Albania",2004,95,316,111,427
"261","Algeria",2004,0,1448491,1511790,2960281
"262","Algeria",2004,5,1492318,1557547,3049865
"263","Algeria",2004,10,1795465,1871701,3667166
