"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Argentina"
"5","Australia"
"6","Austria"
"7","Bangladesh"
"8","Belgium"
"9","Bolivia"
"10","Botswana"
"11","Brazil"
"12","Bulgaria"
"13","Burkina Faso"
"14","Cameroon"
"15","Canada"
"16","Chile"
"17","China"
"18","Cuba"
"19","Czechia"
"20","Denmark"
"21","Dominican Republic"
"22","Ecuador"
"23","El Salvador"
"24","England"
"25","Estonia"
"26","Eswatini"
"27","Ethiopia"
"28","Finland"
"29","France"
"30","Gambia"
"31","Germany"
"32","Greece"
"33","Guatemala"
"34","Honduras"
"35","Iceland"
"36","India"
"37","Indonesia"
"38","Ireland"
"39","Israel"
"40","Italy"
"41","Jamaica"
"42","Japan"
"43","Kenya"
"44","Kyrgyzstan"
"45","Mexico"
"46","Nepal"
"47","Netherlands"
"48","New Zealand"
"49","Northern Ireland"
"50","Norway"
"51","Pakistan"
"52","Panama"
"53","Paraguay"
"54","Peru"
"55","Philippines"
"56","Portugal"
"57","Romania"
"58","Senegal"
"59","Slovenia"
"60","South Africa"
"61","South Korea"
"62","Spain"
"63","Sweden"
"64","Switzerland"
"65","UK"
"66","USA"
"67","Venezuela"
