"","x"
"1","Algeria"
"2","Austria"
"3","Belgium"
"4","Brazil"
"5","Cameroon"
"6","Canada"
"7","Chile"
"8","China"
"9","Colombia"
"10","Czechia"
"11","Denmark"
"12","Ecuador"
"13","England"
"14","Estonia"
"15","Eswatini"
"16","Ethiopia"
"17","France"
"18","Gambia"
"19","Germany"
"20","Greece"
"21","India"
"22","Ireland"
"23","Italy"
"24","Japan"
"25","Mexico"
"26","Netherlands"
"27","Northern Ireland"
"28","Norway"
"29","Pakistan"
"30","Portugal"
"31","Romania"
"32","South Africa"
"33","South Korea"
"34","Spain"
"35","Sweden"
"36","Switzerland"
"37","Taiwan"
"38","USA"
