"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",133445,113303.2,84.91,3061925,NA,0
"2","Brazil",66093,56743,85.85,1643539,NA,0
"3","India",20643,37081.7,179.63,742016,1288499.3,173.65
"4","Russia",10494,0,0,694230,0,0
"5","Peru",10772,5903,54.8,305703,NA,0
"6","Chile",6434,12,0.19,301019,2373.1,0.79
"7","Spain",28392,28627.9,100.83,299210,234823.9,78.48
"8","England",44391,28888.2,65.08,286349,NA,0
"9","Mexico",31119,7633,24.53,261750,71105,27.17
"10","Iran",11931,0,0,245688,0,0
"11","Italy",34899,33542.1,96.11,241956,239709.2,99.07
"12","Pakistan",4839,1605.8,33.18,234509,74436.1,31.74
"13","Saudi Arabia",2017,0,0,217108,0,0
"14","Turkey",5260,0,0,207897,0,0
"15","South Africa",3310,33.9,1.02,205721,NA,0
"16","Germany",9094,9016.1,99.14,198243,196554.1,99.15
"17","Bangladesh",2151,2052.2,95.41,168645,162416.8,96.31
"18","France",29920,19341,64.64,168335,NA,0
"19","Colombia",4210,0,0,120281,0,0
"20","Canada",8708,3765,43.24,106106,59843,56.4
"21","Qatar",134,0,0,100945,0,0
"22","Argentina",1602,947.2,59.13,80447,36554.1,45.44
"23","Egypt",3422,0,0,76222,0,0
"24","Sweden",5447,5433,99.74,73344,73061.4,99.61
"25","Indonesia",3309,3241.2,97.95,66226,64958.2,98.09
"26","Iraq",2685,0,0,64701,0,0
"27","Belarus",436,0,0,64003,0,0
"28","Ecuador",4821,507.2,10.52,62380,9620.9,15.42
"29","Belgium",9774,9738.8,99.64,62058,61303.8,98.78
"30","UAE",326,0,0,52600,0,0
"31","Kuwait",377,0,0,51245,0,0
"32","Netherlands",6132,6128,99.93,50694,50652.8,99.92
"33","Kazakhstan",264,0,0,49683,0,0
"34","Ukraine",1283,0,0,49607,0,0
"35","Oman",224,0,0,48997,0,0
"36","Philippines",1309,1240.8,94.79,47873,37512,78.36
"37","Singapore",26,0,0,45140,0,0
"38","Portugal",1629,1554.9,95.45,44416,40837,91.94
"39","Bolivia",1476,34.1,2.31,40509,597.9,1.48
"40","Panama",770,373,48.44,39334,15463,39.31
"41","Dominican Republic",821,615,74.91,38430,23686,61.63
"42","Poland",1528,0,0,36412,0,0
"43","Afghanistan",920,796.9,86.62,33384,30783,92.21
"44","Switzerland",1966,1682,85.55,32369,31629.3,97.71
"45","Israel",342,236,69.01,31886,NA,0
"46","Bahrain",98,0,0,29821,0,0
"47","Romania",1799,371.9,20.67,29620,7216,24.36
