"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",104632,68998.2,65.94,1797025,NA,0
"2","Brazil",27944,24359,87.17,468338,NA,0
"3","Russia",4555,0,0,396575,0,0
"4","Spain",27121,28627.9,105.56,285644,234823.9,82.21
"5","England",38161,25080,65.72,271222,NA,0
"6","Italy",33229,31016.9,93.34,232248,227204.1,97.83
"7","France",28714,16084,56.01,186835,NA,0
"8","Germany",8598,8090.1,94.09,183113,176007,96.12
"9","India",4996,8196.7,164.07,175957,285937.3,162.5
"10","Turkey",4489,0,0,162120,0,0
"11","Iran",7734,0,0,148950,0,0
"12","Peru",4230,0,0,148285,0,0
"13","Chile",944,12,1.27,90638,2373.1,2.62
"14","Canada",6979,3765,53.95,89418,59843,66.93
"15","Mexico",9415,7633,81.07,84627,71105,84.02
"16","Saudi Arabia",480,0,0,83384,0,0
"17","Pakistan",1395,1188.1,85.17,66457,51674,77.76
"18","Belgium",9453,9255.8,97.91,58186,56934,97.85
"19","Qatar",36,0,0,55262,0,0
"20","Netherlands",5951,5822,97.83,46257,45236.1,97.79
"21","Bangladesh",610,0,0,44608,0,0
"22","Belarus",229,0,0,41658,0,0
"23","Ecuador",3334,507.2,15.21,38571,9620.9,24.94
"24","Sweden",4395,3831,87.17,37113,31523.2,84.94
"25","Singapore",23,0,0,34366,0,0
"26","UAE",260,0,0,33170,0,0
"27","Portugal",1396,470,33.67,32203,15987,49.64
"28","Switzerland",1919,1518.1,79.11,30845,30141.6,97.72
"29","South Africa",611,33.9,5.55,29240,NA,0
"30","Colombia",853,750,87.92,26688,21980.8,82.36
"31","Kuwait",205,0,0,26192,0,0
"32","Indonesia",1573,0,0,25773,0,0
"33","Ireland",1645,896.9,54.52,24876,19095.1,76.76
"34","Poland",1051,0,0,23376,0,0
"35","Ukraine",696,0,0,23204,0,0
"36","Egypt",879,0,0,22082,0,0
"37","Romania",1259,43,3.42,19133,1760,9.2
"38","Philippines",950,695,73.16,17224,13703,79.56
"39","Israel",284,0,0,17008,0,0
"40","Japan",874,624,71.4,16719,16073.9,96.14
"41","Austria",668,638,95.51,16685,16543,99.15
"42","Dominican Republic",488,0,0,16531,0,0
"43","Argentina",520,0,0,15419,0,0
"44","Afghanistan",249,0,0,14525,0,0
"45","Panama",326,0,0,12531,0,0
"46","Denmark",571,550.9,96.48,11633,11044,94.94
"47","South Korea",269,268.9,99.96,11441,11344,99.15
"48","Serbia",242,0,0,11381,0,0
"49","Bahrain",15,0,0,10740,0,0
"50","Oman",42,0,0,10423,0,0
"51","Kazakhstan",38,0,0,10382,0,0
"52","Nigeria",261,0,0,9302,0,0
"53","Czechia",319,315,98.75,9200,8690,94.46
"54","Algeria",638,623,97.65,9134,8857.1,96.97
"55","Armenia",127,0,0,8927,0,0
"56","Bolivia",300,0,0,8731,0,0
"57","Norway",236,236.1,100.04,8435,8400.9,99.6
"58","Moldova",291,0,0,8098,0,0
"59","Ghana",35,0,0,7768,0,0
"60","Malaysia",115,0,0,7762,0,0
"61","Morocco",203,0,0,7740,0,0
"62","Australia",103,0,0,7185,0,0
"63","Finland",316,312.9,99.02,6826,6743,98.78
"64","Iraq",195,0,0,6179,0,0
"65","Cameroon",177,17.8,10.06,5436,870.1,16.01
"66","Azerbaijan",61,0,0,5246,0,0
"67","Honduras",199,0,0,4886,0,0
"68","Guatemala",90,0,0,4607,0,0
"69","Sudan",233,0,0,4521,0,0
"70","Luxembourg",110,0,0,4012,0,0
"71","Hungary",524,0,0,3867,0,0
"72","Tajikistan",47,0,0,3807,0,0
"73","Guinea",22,0,0,3656,0,0
"74","Senegal",42,0,0,3535,0,0
"75","Uzbekistan",14,0,0,3523,0,0
"76","Djibouti",22,0,0,3194,0,0
"77","Thailand",57,0,0,3077,0,0
"78","DRC",69,0,0,2966,0,0
"79","Greece",175,170.9,97.66,2909,2679,92.09
"80","Ivory Coast",32,0,0,2750,0,0
"81","Gabon",15,0,0,2613,0,0
"82","Bulgaria",139,0,0,2499,0,0
"83","Bosnia and Herzegovina",153,0,0,2494,0,0
"84","El Salvador",44,0,0,2395,0,0
"85","Croatia",103,0,0,2246,0,0
"86","North Macedonia",131,0,0,2164,0,0
"87","Cuba",83,0,0,2025,0,0
"88","Kenya",62,0,0,1888,0,0
"89","Estonia",67,0,0,1865,0,0
"90","Somalia",72,0,0,1828,0,0
"91","Iceland",10,0,0,1806,0,0
"92","Kyrgyzstan",16,0,0,1722,0,0
"93","Mayotte",21,0,0,1699,0,0
"94","Lithuania",70,0,0,1670,0,0
"95","Maldives",5,0,0,1633,0,0
"96","Haiti",35,0,0,1584,0,0
"97","Sri Lanka",10,0,0,1566,0,0
"98","Slovakia",28,0,0,1521,0,0
"99","New Zealand",22,21,95.45,1504,NA,0
"100","Slovenia",108,0,0,1473,0,0
"101","Nepal",6,0,0,1401,0,0
"102","Venezuela",14,0,0,1370,0,0
"103","Equatorial Guinea",12,0,0,1306,0,0
"104","Guinea-Bissau",8,0,0,1256,0,0
"105","Mali",76,0,0,1250,0,0
"106","Lebanon",26,0,0,1191,0,0
"107","Albania",33,0,0,1122,0,0
"108","Hong Kong",4,0,0,1083,0,0
"109","Tunisia",48,0,0,1076,0,0
"110","Latvia",24,0,0,1065,0,0
"111","Ethiopia",8,5,62.5,1063,209.9,19.75
"112","Zambia",7,0,0,1057,0,0
"113","Costa Rica",10,0,0,1022,0,0
"114","South Sudan",10,0,0,994,0,0
"115","Niger",64,0,0,955,0,0
"116","Cyprus",17,0,0,942,0,0
"117","Paraguay",11,0,0,917,0,0
"118","CAR",1,0,0,874,0,0
"119","Sierra Leone",46,0,0,852,0,0
"120","Burkina Faso",53,0,0,847,0,0
"121","Uruguay",22,0,0,816,0,0
"122","Andorra",51,0,0,764,0,0
"123","Chad",65,0,0,759,0,0
"124","Nicaragua",35,0,0,759,0,0
"125","Madagascar",6,0,0,758,0,0
"126","Georgia",12,0,0,757,0,0
"127","Jordan",9,0,0,730,0,0
"128","Diamond Princess",13,0,0,712,0,0
"129","San Marino",42,0,0,671,0,0
"130","Malta",9,0,0,618,0,0
"131","Jamaica",9,0,0,575,0,0
"132","Congo",19,0,0,571,0,0
"133","Channel Islands",45,0,0,560,0,0
"134","Tanzania",21,0,0,509,0,0
"135","Réunion",1,0,0,471,0,0
"136","Sao Tome and Principe",12,0,0,463,0,0
"137","French Guiana",1,0,0,450,0,0
"138","Palestine",3,0,0,447,0,0
"139","Taiwan",7,7,100,442,440.1,99.57
"140","Togo",13,0,0,428,0,0
"141","Mauritania",20,0,0,423,0,0
"142","Cabo Verde",4,0,0,421,0,0
"143","Rwanda",NA,0,0,355,0,0
"144","Isle of Man",24,0,0,336,0,0
"145","Mauritius",10,0,0,335,0,0
"146","Uganda",NA,0,0,329,0,0
"147","Vietnam",NA,0,0,328,0,0
"148","Montenegro",9,0,0,324,0,0
"149","Yemen",65,0,0,283,0,0
"150","Liberia",27,0,0,280,0,0
"151","Eswatini",2,2,100,279,260.6,93.41
"152","Malawi",4,0,0,273,0,0
"153","Mozambique",2,0,0,244,0,0
"154","Myanmar",6,0,0,224,0,0
"155","Benin",3,0,0,224,0,0
"156","Martinique",14,0,0,200,0,0
"157","Faeroe Islands",NA,0,0,187,0,0
"158","Mongolia",NA,0,0,179,0,0
"159","Gibraltar",NA,0,0,169,0,0
