"","country","sex","time","age.code","sle_un"
"1","Algeria","both","2015-2020",0,76.59
"2","Algeria","both","2015-2020",5,73.52
"3","Algeria","both","2015-2020",10,68.68
"4","Algeria","both","2015-2020",15,63.81
"5","Algeria","both","2015-2020",20,58.98
"6","Algeria","both","2015-2020",25,54.19
"7","Algeria","both","2015-2020",30,49.42
"8","Algeria","both","2015-2020",35,44.66
"9","Algeria","both","2015-2020",40,39.95
"10","Algeria","both","2015-2020",45,35.3
"11","Algeria","both","2015-2020",50,30.76
"12","Algeria","both","2015-2020",55,26.34
"13","Algeria","both","2015-2020",60,22.08
"14","Algeria","both","2015-2020",65,18.07
"15","Algeria","both","2015-2020",70,14.3
"16","Algeria","both","2015-2020",75,10.89
"17","Algeria","both","2015-2020",80,7.99
"18","Algeria","both","2015-2020",85,5.73
"19","Algeria","both","2015-2020",90,4.1
"20","Algeria","both","2015-2020",95,2.98
"21","Argentina","both","2015-2020",0,76.45
"22","Argentina","both","2015-2020",5,72.36
"23","Argentina","both","2015-2020",10,67.43
"24","Argentina","both","2015-2020",15,62.5
"25","Argentina","both","2015-2020",20,57.73
"26","Argentina","both","2015-2020",25,53.01
"27","Argentina","both","2015-2020",30,48.27
"28","Argentina","both","2015-2020",35,43.54
"29","Argentina","both","2015-2020",40,38.83
"30","Argentina","both","2015-2020",45,34.19
"31","Argentina","both","2015-2020",50,29.7
"32","Argentina","both","2015-2020",55,25.4
"33","Argentina","both","2015-2020",60,21.39
"34","Argentina","both","2015-2020",65,17.64
"35","Argentina","both","2015-2020",70,14.21
"36","Argentina","both","2015-2020",75,11.07
"37","Argentina","both","2015-2020",80,8.3
"38","Argentina","both","2015-2020",85,6.04
"39","Argentina","both","2015-2020",90,4.31
"40","Argentina","both","2015-2020",95,3.03
"41","Australia","both","2015-2020",0,83.2
"42","Australia","both","2015-2020",5,78.51
"43","Australia","both","2015-2020",10,73.54
"44","Australia","both","2015-2020",15,68.57
"45","Australia","both","2015-2020",20,63.67
"46","Australia","both","2015-2020",25,58.79
"47","Australia","both","2015-2020",30,53.91
"48","Australia","both","2015-2020",35,49.06
"49","Australia","both","2015-2020",40,44.25
"50","Australia","both","2015-2020",45,39.48
"51","Australia","both","2015-2020",50,34.79
"52","Australia","both","2015-2020",55,30.19
"53","Australia","both","2015-2020",60,25.7
"54","Australia","both","2015-2020",65,21.36
"55","Australia","both","2015-2020",70,17.22
"56","Australia","both","2015-2020",75,13.36
"57","Australia","both","2015-2020",80,9.87
"58","Australia","both","2015-2020",85,6.94
"59","Australia","both","2015-2020",90,4.68
"60","Australia","both","2015-2020",95,3.12
"61","Austria","both","2015-2020",0,81.36
"62","Austria","both","2015-2020",5,76.66
"63","Austria","both","2015-2020",10,71.69
"64","Austria","both","2015-2020",15,66.72
"65","Austria","both","2015-2020",20,61.81
"66","Austria","both","2015-2020",25,56.92
"67","Austria","both","2015-2020",30,52.03
"68","Austria","both","2015-2020",35,47.15
"69","Austria","both","2015-2020",40,42.31
"70","Austria","both","2015-2020",45,37.52
"71","Austria","both","2015-2020",50,32.83
"72","Austria","both","2015-2020",55,28.27
"73","Austria","both","2015-2020",60,23.94
"74","Austria","both","2015-2020",65,19.84
"75","Austria","both","2015-2020",70,16.02
"76","Austria","both","2015-2020",75,12.41
"77","Austria","both","2015-2020",80,9.04
"78","Austria","both","2015-2020",85,6.23
"79","Austria","both","2015-2020",90,4.16
"80","Austria","both","2015-2020",95,2.76
"81","Bangladesh","both","2015-2020",0,72.15
"82","Bangladesh","both","2015-2020",5,69.54
"83","Bangladesh","both","2015-2020",10,64.8
"84","Bangladesh","both","2015-2020",15,59.99
"85","Bangladesh","both","2015-2020",20,55.29
"86","Bangladesh","both","2015-2020",25,50.56
"87","Bangladesh","both","2015-2020",30,45.8
"88","Bangladesh","both","2015-2020",35,41.07
"89","Bangladesh","both","2015-2020",40,36.4
"90","Bangladesh","both","2015-2020",45,31.83
"91","Bangladesh","both","2015-2020",50,27.4
"92","Bangladesh","both","2015-2020",55,23.22
"93","Bangladesh","both","2015-2020",60,19.3
"94","Bangladesh","both","2015-2020",65,15.81
"95","Bangladesh","both","2015-2020",70,12.62
"96","Bangladesh","both","2015-2020",75,10.06
"97","Bangladesh","both","2015-2020",80,7.77
"98","Bangladesh","both","2015-2020",85,6.03
"99","Bangladesh","both","2015-2020",90,4.74
"100","Bangladesh","both","2015-2020",95,3.91
"101","Belgium","both","2015-2020",0,81.39
"102","Belgium","both","2015-2020",5,76.67
"103","Belgium","both","2015-2020",10,71.7
"104","Belgium","both","2015-2020",15,66.73
"105","Belgium","both","2015-2020",20,61.81
"106","Belgium","both","2015-2020",25,56.93
"107","Belgium","both","2015-2020",30,52.06
"108","Belgium","both","2015-2020",35,47.2
"109","Belgium","both","2015-2020",40,42.38
"110","Belgium","both","2015-2020",45,37.63
"111","Belgium","both","2015-2020",50,32.98
"112","Belgium","both","2015-2020",55,28.5
"113","Belgium","both","2015-2020",60,24.23
"114","Belgium","both","2015-2020",65,20.14
"115","Belgium","both","2015-2020",70,16.24
"116","Belgium","both","2015-2020",75,12.56
"117","Belgium","both","2015-2020",80,9.2
"118","Belgium","both","2015-2020",85,6.4
