"","country","sex","time","age","sle"
"1","Best practice","both","2015",0,86.60328
"2","Best practice","both","2015",5,81.81428
"3","Best practice","both","2015",10,76.84031
"4","Best practice","both","2015",15,71.86577
"5","Best practice","both","2015",20,66.91693
"6","Best practice","both","2015",25,61.97612
"7","Best practice","both","2015",30,57.0325
"8","Best practice","both","2015",35,52.10627
"9","Best practice","both","2015",40,47.20845
"10","Best practice","both","2015",45,42.36145
"11","Best practice","both","2015",50,37.59025
"12","Best practice","both","2015",55,32.90342
"13","Best practice","both","2015",60,28.29647
"14","Best practice","both","2015",65,23.79594
"15","Best practice","both","2015",70,19.42163
"16","Best practice","both","2015",75,15.27302
"17","Best practice","both","2015",80,11.46125
"18","Best practice","both","2015",85,8.163226
"19","Best practice","both","2015",90,5.531399
"20","Best practice","both","2015",95,3.676063
