"","Country","Year","Age","Female","Male","Total"
"1","Belgium","2019",0,57969,60380,118349
"2","Belgium","2019",5,243329,255083,498412
"3","Belgium","2019",10,326204,341523,667727
"4","Belgium","2019",15,321097,336907,658004
"5","Belgium","2019",20,308350,324576,632926
"6","Belgium","2019",25,330053,343335,673388
"7","Belgium","2019",30,372819,377385,750204
"8","Belgium","2019",35,369687,371039,740726
"9","Belgium","2019",40,375545,379677,755222
"10","Belgium","2019",45,363596,370403,733999
"11","Belgium","2019",50,384620,394692,779312
"12","Belgium","2019",55,396998,407126,804124
"13","Belgium","2019",60,395710,396261,791971
"14","Belgium","2019",65,360618,350239,710857
"15","Belgium","2019",70,317182,298705,615887
"16","Belgium","2019",75,281670,250001,531671
"17","Belgium","2019",80,206071,165310,371381
"18","Belgium","2019",85,188251,131165,319416
"19","Belgium","2019",90,138532,76750,215282
"20","Belgium","2019",95,81439.07,30900.94,112340.01
"21","Czechia","2019",0,55699,58167,113866
"22","Czechia","2019",5,220778,232528,453306
"23","Czechia","2019",10,279079,292895,571974
"24","Czechia","2019",15,269794,284120,553914
"25","Czechia","2019",20,227173,240218,467391
"26","Czechia","2019",25,242645,255372,498017
"27","Czechia","2019",30,325537,343440,668977
"28","Czechia","2019",35,351422,373769,725191
"29","Czechia","2019",40,380714,406261,786975
"30","Czechia","2019",45,456041,481362,937403
"31","Czechia","2019",50,382802,404233,787035
"32","Czechia","2019",55,339749,352218,691967
"33","Czechia","2019",60,313641,314566,628207
"34","Czechia","2019",65,350778,328182,678960
"35","Czechia","2019",70,364441,315501,679942
"36","Czechia","2019",75,330966,258907,589873
"37","Czechia","2019",80,226982,156913,383895
"38","Czechia","2019",85,145219,83949,229168
"39","Czechia","2019",90,96420,45812,142232
"40","Czechia","2019",95,45725.92,15780.93,61506.85
"41","Denmark","2020",0,29817,31649,61466
"42","Denmark","2020",5,119785,126637,246422
"43","Denmark","2020",10,149474,157127,306601
"44","Denmark","2020",15,164885,173744,338629
"45","Denmark","2020",20,167639,175643,343282
"46","Denmark","2020",25,186937,194954,381891
"47","Denmark","2020",30,196402,204408,400810
"48","Denmark","2020",35,175511,182835,358346
"49","Denmark","2020",40,162485,165977,328462
"50","Denmark","2020",45,181674,182485,364159
"51","Denmark","2020",50,195744,196145,391889
"52","Denmark","2020",55,204373,207533,411906
"53","Denmark","2020",60,193719,194819,388538
"54","Denmark","2020",65,173710,170661,344371
"55","Denmark","2020",70,163541,155734,319275
"56","Denmark","2020",75,168091,156463,324554
"57","Denmark","2020",80,128223,111613,239836
"58","Denmark","2020",85,83207,64756,147963
"59","Denmark","2020",90,48573,30762,79335
"60","Denmark","2020",95,32055,12973,45028
"61","England","2017",0,338257.18,355815.18,694072.36
"62","England","2017",5,1381657.66,1454019.56,2835677.22
"63","England","2017",10,1759742.03,1846125.68,3605867.71
"64","England","2017",15,1585650.24,1663249.72,3248899.96
"65","England","2017",20,1591852.81,1672713.84,3264566.65
"66","England","2017",25,1768234.72,1858240.92,3626475.64
"67","England","2017",30,1953473.41,1992351.97,3945825.38
"68","England","2017",35,1952570.38,1944997.53,3897567.91
"69","England","2017",40,1884882.3,1870018.5,3754900.8
"70","England","2017",45,1833911.33,1811771.96,3645683.29
"71","England","2017",50,2053603.15,2003374.27,4056977.42
"72","England","2017",55,2076038.8,2018482.89,4094521.69
"73","England","2017",60,1831198.97,1789501.46,3620700.43
"74","England","2017",65,1594724.58,1534228.59,3128953.17
"75","England","2017",70,1620052.41,1524807.75,3144860.16
"76","England","2017",75,1380992,1267176.04,2648168.04
"77","England","2017",80,1032939.92,884038.54,1916978.46
"78","England","2017",85,812306.91,627353.62,1439660.53
"79","England","2017",90,549323.76,348198.88,897522.64
"80","England","2017",95,360198.01,158375.99,518574
"81","Finland","2019",0,23000,24663,47663
"82","Finland","2019",5,107629,112394,220023
"83","Finland","2019",10,151005,158005,309010
"84","Finland","2019",15,149356,156182,305538
"85","Finland","2019",20,144041,152126,296167
"86","Finland","2019",25,155877,164499,320376
"87","Finland","2019",30,172237,182635,354872
"88","Finland","2019",35,169564,180832,350396
"89","Finland","2019",40,172424,183327,355751
"90","Finland","2019",45,166596,175769,342365
"91","Finland","2019",50,155005,160573,315578
"92","Finland","2019",55,181247,183302,364549
"93","Finland","2019",60,185077,183156,368233
"94","Finland","2019",65,185506,177055,362561
"95","Finland","2019",70,187930,174278,362208
"96","Finland","2019",75,176154,154506,330660
"97","Finland","2019",80,117326,91933,209259
"98","Finland","2019",85,92842,62247,155089
"99","Finland","2019",90,63302,32747,96049
"100","Finland","2019",95,38511,13061,51572
