Country,Sex,Age,deaths,baseline,excess,excess_ll,excess_ul,last_week,last_date
AUT,b,0-14,43,37.94209008,5.057909919,0.037961001,15.77614733,14,4/5/2020
AUT,b,15-64,1670,1507.933304,162.0666959,96.70230022,231.367732,14,4/5/2020
AUT,b,65-74,1944,1841.691907,102.3080935,29.12083495,208.4094813,14,4/5/2020
AUT,b,75-84,3476,3268.018893,207.9811068,88.02975926,350.4935562,14,4/5/2020
AUT,b,85+,5127,4877.148777,249.8512229,115.1512118,424.0069223,14,4/5/2020
AUT,b,Total,12278,11533.74608,744.2539214,402.4820255,1101.493256,14,4/5/2020
AUT,f,0-14,18,13.6469388,4.3530612,0.60446501,10.65727428,14,4/5/2020
AUT,f,15-64,525,456.4121333,68.58786669,33.38573183,103.7900015,14,4/5/2020
AUT,f,65-74,649,620.364697,28.63530303,0,86.23723447,14,4/5/2020
AUT,f,75-84,1596,1508.922103,87.07789738,23.66381778,183.6510191,14,4/5/2020
AUT,f,85+,2828,2699.105367,128.8946325,45.51354077,247.9337541,14,4/5/2020
AUT,f,Total,6257,5944.907127,312.0928733,132.4360459,548.6375716,14,4/5/2020
AUT,m,0-14,22,20.94639485,1.053605148,0,9.202151854,14,4/5/2020
AUT,m,15-64,797,694.269903,102.730097,63.03926502,142.4209289,13,3/29/2020
AUT,m,65-74,1196,1114.970925,81.02907512,20.24207981,162.9455137,14,4/5/2020
AUT,m,75-84,1883,1753.719479,129.2805213,39.77724521,233.8182785,14,4/5/2020
AUT,m,85+,1838,1727.17051,110.8294896,32.82328938,216.1378706,14,4/5/2020
AUT,m,Total,6021,5587.242771,433.7572294,266.7090878,617.6948953,14,4/5/2020
BEL,b,15-64,2732,2324.323915,407.6760848,314.4252276,500.926942,16,4/19/2020
BEL,b,65-74,3999,3158.317547,840.6824533,727.901633,994.9703194,16,4/19/2020
BEL,b,75-84,6689,4486.885195,2202.114805,2035.012351,2372.194361,16,4/19/2020
BEL,b,85+,9324,5632.488024,3691.511976,3487.446993,3932.047404,16,4/19/2020
BEL,b,Total,26523,19444.18124,7078.818764,6620.318098,7670.938444,16,4/19/2020
BEL,f,15-64,787,685.1084183,101.8915817,66.73525992,146.0774041,15,4/12/2020
BEL,f,65-74,1403,1032.412112,370.5878885,307.0649874,434.1107895,16,4/19/2020
BEL,f,75-84,3055,2088.188864,966.8111364,880.8946126,1083.273102,16,4/19/2020
BEL,f,85+,6475,4161.611731,2313.388269,2133.697186,2521.085646,16,4/19/2020
BEL,f,Total,12546,8889.760733,3656.239267,3405.699369,3987.989801,16,4/19/2020
BEL,m,15-64,1731,1411.411674,319.5883261,247.3932927,391.7833596,16,4/19/2020
BEL,m,65-74,2468,1843.68719,624.3128104,534.6904371,713.9351837,16,4/19/2020
BEL,m,75-84,3947,2703.991077,1243.008923,1110.57409,1383.243432,16,4/19/2020
BEL,m,85+,3868,2436.644629,1431.355371,1324.729769,1553.694553,16,4/19/2020
BEL,m,Total,12896,9434.704299,3461.295701,3173.394063,3797.855358,16,4/19/2020
DEUTNP,b,0-14,169,147.1823568,21.81764323,6.428881332,37.20640513,10,3/8/2020
DEUTNP,b,15-64,20904,20488.83949,415.160506,11.96128816,1053.143753,15,4/12/2020
DEUTNP,b,65-74,17383,16724.56195,658.4380541,198.3445783,1204.18442,15,4/12/2020
DEUTNP,b,75-84,44910,42586.67218,2323.327823,1053.783467,3670.217706,16,4/19/2020
DEUTNP,b,85+,53639,51870.82804,1768.171957,746.5611305,3650.609192,16,4/19/2020
DEUTNP,b,Total,156420,150828.2153,5591.784735,2082.033425,10155.87905,16,4/19/2020
DEUTNP,f,0-14,76,66.41619343,9.583806566,0.430537541,19.94007845,10,3/8/2020
DEUTNP,f,15-64,7366,7227.34388,138.6561199,0,423.861495,15,4/12/2020
DEUTNP,f,65-74,6696,6438.672871,257.3271288,58.02180671,496.5625866,15,4/12/2020
