"","Country","Year","Age","Female","Male","Total"
"1","Algeria",2020,0,2467456,2574062,5041518
"2","Algeria",2020,5,2269335,2366637,4635972
"3","Algeria",2020,10,1872109,1949293,3821402
"4","Algeria",2020,15,1425863,1484482,2910345
"5","Algeria",2020,20,1468812,1531025,2999837
"6","Algeria",2020,25,1761867,1812011,3573878
"7","Algeria",2020,30,1850199,1877520,3727719
"8","Algeria",2020,35,1764741,1782775,3547516
"9","Algeria",2020,40,1502809,1511220,3014029
"10","Algeria",2020,45,1220495,1214095,2434590
"11","Algeria",2020,50,1035144,1026740,2061884
"12","Algeria",2020,55,870269,867903,1738172
"13","Algeria",2020,60,684035,703307,1387342
"14","Algeria",2020,65,560160,583040,1143200
"15","Algeria",2020,70,364221,359717,723938
"16","Algeria",2020,75,272083,241813,513896
"17","Algeria",2020,80,185844,157783,343627
"18","Algeria",2020,85,90055,80994,171049
"19","Algeria",2020,90,26899,24471,51370
"20","Algeria",2020,95,4387,4409,8796
"21","Algeria",2020,100,452,511,963
"22","Cameroon",2020,0,2037881,2077822,4115703
"23","Cameroon",2020,5,1848488,1881835,3730323
"24","Cameroon",2020,10,1647542,1672667,3320209
"25","Cameroon",2020,15,1420203,1436047,2856250
"26","Cameroon",2020,20,1206119,1213879,2419998
"27","Cameroon",2020,25,1064780,1067009,2131789
"28","Cameroon",2020,30,930208,930610,1860818
"29","Cameroon",2020,35,768732,770292,1539024
"30","Cameroon",2020,40,600746,602489,1203235
"31","Cameroon",2020,45,470252,468356,938608
"32","Cameroon",2020,50,368259,360872,729131
"33","Cameroon",2020,55,286649,272697,559346
"34","Cameroon",2020,60,219795,200605,420400
"35","Cameroon",2020,65,167533,145366,312899
"36","Cameroon",2020,70,115950,93962,209912
"37","Cameroon",2020,75,70169,52653,122822
"38","Cameroon",2020,80,33831,22958,56789
"39","Cameroon",2020,85,10149,6152,16301
"40","Cameroon",2020,90,1426,767,2193
"41","Cameroon",2020,95,74,36,110
"42","Cameroon",2020,100,3,1,4
"43","Mexico",2020,0,5353961,5604781,10958742
"44","Mexico",2020,5,5478805,5731706,11210511
"45","Mexico",2020,10,5448048,5692822,11140870
"46","Mexico",2020,15,5514580,5695013,11209593
"47","Mexico",2020,20,5434658,5505161,10939819
"48","Mexico",2020,25,5411644,5384130,10795774
"49","Mexico",2020,30,5041468,4748412,9789880
"50","Mexico",2020,35,4746361,4343789,9090150
"51","Mexico",2020,40,4502226,4029738,8531964
"52","Mexico",2020,45,4233025,3782769,8015794
"53","Mexico",2020,50,3688873,3236044,6924917
"54","Mexico",2020,55,3090563,2742491,5833054
"55","Mexico",2020,60,2500183,2169271,4669454
"56","Mexico",2020,65,1938297,1657202,3595499
"57","Mexico",2020,70,1340716,1125991,2466707
"58","Mexico",2020,75,947528,774478,1722006
"59","Mexico",2020,80,602438,456066,1058504
"60","Mexico",2020,85,361118,248866,609984
"61","Mexico",2020,90,168098,107034,275132
"62","Mexico",2020,95,50439,30998,81437
"63","Mexico",2020,100,8238,4724,12962
"64","Pakistan",2020,0,13453556,14509296,27962852
"65","Pakistan",2020,5,12273189,13226191,25499380
"66","Pakistan",2020,10,11296757,12154761,23451518
"67","Pakistan",2020,15,10532903,11443015,21975918
"68","Pakistan",2020,20,10030306,10741968,20772274
"69","Pakistan",2020,25,9337097,9820991,19158088
"70","Pakistan",2020,30,8221159,8597168,16818327
"71","Pakistan",2020,35,6853394,7144302,13997696
"72","Pakistan",2020,40,5692604,5922918,11615522
"73","Pakistan",2020,45,4728045,4905180,9633225
"74","Pakistan",2020,50,4054023,4176690,8230713
"75","Pakistan",2020,55,3405944,3485956,6891900
"76","Pakistan",2020,60,2613081,2666009,5279090
"77","Pakistan",2020,65,1801861,1821463,3623324
"78","Pakistan",2020,70,1333665,1372079,2705744
"79","Pakistan",2020,75,913614,939571,1853185
"80","Pakistan",2020,80,466969,494894,961863
"81","Pakistan",2020,85,171740,193109,364849
"82","Pakistan",2020,90,36341,48962,85303
"83","Pakistan",2020,95,3809,6911,10720
"84","Pakistan",2020,100,267,573,840
