"","x"
"1","Algeria"
"2","Argentina"
"3","Australia"
"4","Austria"
"5","Bangladesh"
"6","Belgium"
"7","Bolivia"
"8","Brazil"
"9","Bulgaria"
"10","Cameroon"
"11","Canada"
"12","Chile"
"13","China"
"14","Colombia"
"15","Cuba"
"16","Czechia"
"17","Denmark"
"18","Dominican Republic"
"19","Ecuador"
"20","El Salvador"
"21","England"
"22","Estonia"
"23","Eswatini"
"24","Ethiopia"
"25","Finland"
"26","France"
"27","Gambia"
"28","Germany"
"29","Greece"
"30","Honduras"
"31","India"
"32","Ireland"
"33","Israel"
"34","Italy"
"35","Jamaica"
"36","Japan"
"37","Kyrgyzstan"
"38","Mexico"
"39","Mozambique"
"40","Nepal"
"41","Netherlands"
"42","New Zealand"
"43","Northern Ireland"
"44","Norway"
"45","Pakistan"
"46","Panama"
"47","Philippines"
"48","Portugal"
"49","Romania"
"50","Senegal"
"51","South Africa"
"52","South Korea"
"53","Spain"
"54","Sweden"
"55","Switzerland"
"56","Taiwan"
"57","UK"
"58","USA"
"59","Venezuela"
