"","Country","Year","Age","Deaths_females","Deaths_males"
"1","Algeria","2020",0,45413.52768,63777.534174
"2","Algeria","2020",5,885.04065,1183.3185
"3","Algeria","2020",10,617.79597,896.67478
"4","Algeria","2020",15,613.12109,1039.1374
"5","Algeria","2020",20,734.406,1485.09425
"6","Algeria","2020",25,1127.59488,1993.2121
"7","Algeria","2020",30,1591.17114,2253.024
"8","Algeria","2020",35,2241.22107,2674.1625
"9","Algeria","2020",40,2659.97193,3007.3278
"10","Algeria","2020",45,3136.67215,3569.4393
"11","Algeria","2020",50,3767.92416,4651.1322
"12","Algeria","2020",55,4682.04722,6101.35809
"13","Algeria","2020",60,5814.2975,7947.3691
"14","Algeria","2020",65,7427.7216,10039.9488
"15","Algeria","2020",70,8278.74333,10176.39393
"16","Algeria","2020",75,11394.83604,11694.07668
"17","Algeria","2020",80,14466.09696,13088.09985
"18","Algeria","2020",85,12320.42455,11006.27466
"19","Algeria","2020",90,5965.66022,5123.24856
"20","Algeria","2020",95,1598.41848,1485.9876
"21","Argentina","2020",0,17471.4848664,21099.960680204
"22","Argentina","2020",5,301.84276008,374.772967536
"23","Argentina","2020",10,369.042523606,489.934022445
"24","Argentina","2020",15,679.527742467,1954.89571248
"25","Argentina","2020",20,738.37405208,2827.116221898
"26","Argentina","2020",25,881.099856763,2752.76666591
"27","Argentina","2020",30,1184.717845824,2696.555429784
"28","Argentina","2020",35,1555.069474575,2869.525332744
"29","Argentina","2020",40,2371.733341845,3808.260926568
"30","Argentina","2020",45,3419.701133276,4950.108206921
"31","Argentina","2020",50,4549.144166424,7284.553913907
"32","Argentina","2020",55,6582.000733632,11496.506741983
"33","Argentina","2020",60,8814.131327664,15529.752299565
"34","Argentina","2020",65,11908.472624932,20630.281904017
"35","Argentina","2020",70,15719.06211682,23816.01798308
"36","Argentina","2020",75,20315.219121076,24413.444425312
"37","Argentina","2020",80,25756.494435864,22989.52968312
"38","Argentina","2020",85,28008.498024,17886.59155765
"39","Argentina","2020",90,21308.5521196,9152.3870977
"40","Argentina","2020",95,9501.64837307,2798.20372496
"41","Australia","2020",0,2322.91488,2881.19664
"42","Australia","2020",5,62.9013908,73.6738776
"43","Australia","2020",10,55.1663784,79.7767236
"44","Australia","2020",15,149.167751658,291.11618405
"45","Australia","2020",20,178.683572638,444.101861456
"46","Australia","2020",25,231.489344139,575.14097274
"47","Australia","2020",30,354.256206404,746.018275395
"48","Australia","2020",35,508.251921516,957.517381953
"49","Australia","2020",40,674.915295762,1136.174833664
"50","Australia","2020",45,1071.059768404,1704.46586208
