"","Country","Year","Age","Female","Male","Total"
"221","Afghanistan","2020",0,2765103,2907406,5672509
"222","Afghanistan","2020",5,2641593,2774630,5416223
"223","Afghanistan","2020",10,2540450,2651664,5192114
"224","Afghanistan","2020",15,2251504,2377941,4629445
"225","Afghanistan","2020",20,1909206,2017279,3926485
"226","Afghanistan","2020",25,1498590,1610796,3109386
"227","Afghanistan","2020",30,1179138,1299121,2478259
"228","Afghanistan","2020",35,988220,1068167,2056387
"229","Afghanistan","2020",40,790703,868020,1658723
"230","Afghanistan","2020",45,627510,677226,1304736
"231","Afghanistan","2020",50,503171,529188,1032359
"232","Afghanistan","2020",55,396460,411379,807839
"233","Afghanistan","2020",60,307557,305081,612638
"234","Afghanistan","2020",65,229221,215637,444858
"235","Afghanistan","2020",70,172197,140254,312451
"236","Afghanistan","2020",75,91107,76897,168004
"237","Afghanistan","2020",80,42490,33115,75605
"238","Afghanistan","2020",85,14275,10185,24460
"239","Afghanistan","2020",90,3139,2053,5192
"240","Afghanistan","2020",95,442,226,668
"241","Albania","2020",0,79714,86564,166278
"242","Albania","2020",5,79822,87732,167554
"243","Albania","2020",10,75224,86957,162181
"244","Albania","2020",15,93379,106218,199597
"245","Albania","2020",20,110982,117374,228356
"246","Albania","2020",25,115006,129317,244323
"247","Albania","2020",30,101291,122633,223924
"248","Albania","2020",35,76191,90658,166849
"249","Albania","2020",40,76614,75896,152510
"250","Albania","2020",45,90245,80264,170509
"251","Albania","2020",50,95681,88504,184185
"252","Albania","2020",55,103252,98654,201906
"253","Albania","2020",60,95295,91164,186459
"254","Albania","2020",65,73946,69837,143783
"255","Albania","2020",70,55690,52442,108132
"256","Albania","2020",75,45107,41429,86536
"257","Albania","2020",80,28149,25727,53876
"258","Albania","2020",85,12885,10503,23388
"259","Albania","2020",90,4043,2584,6627
"260","Albania","2020",95,570,257,827
"261","Algeria","2020",0,2467456,2574062,5041518
"262","Algeria","2020",5,2269335,2366637,4635972
"263","Algeria","2020",10,1872109,1949293,3821402
"264","Algeria","2020",15,1425863,1484482,2910345
"265","Algeria","2020",20,1468812,1531025,2999837
"266","Algeria","2020",25,1761867,1812011,3573878
"267","Algeria","2020",30,1850199,1877520,3727719
"268","Algeria","2020",35,1764741,1782775,3547516
"269","Algeria","2020",40,1502809,1511220,3014029
"270","Algeria","2020",45,1220495,1214095,2434590
"271","Algeria","2020",50,1035144,1026740,2061884
"272","Algeria","2020",55,870269,867903,1738172
"273","Algeria","2020",60,684035,703307,1387342
"274","Algeria","2020",65,560160,583040,1143200
"275","Algeria","2020",70,364221,359717,723938
"276","Algeria","2020",75,272083,241813,513896
"277","Algeria","2020",80,185844,157783,343627
"278","Algeria","2020",85,90055,80994,171049
"279","Algeria","2020",90,26899,24471,51370
"280","Algeria","2020",95,4839,4920,9759
"281","Argentina","2020",0,1833225,1903426,3736651
"282","Argentina","2020",5,1820688,1889129,3709817
"283","Argentina","2020",10,1766041,1831221,3597262
"284","Argentina","2020",15,1739689,1799760,3539449
"285","Argentina","2020",20,1714597,1762738,3477335
"286","Argentina","2020",25,1745039,1775210,3520249
"287","Argentina","2020",30,1660236,1658744,3318980
"288","Argentina","2020",35,1572135,1550297,3122432
"289","Argentina","2020",40,1571745,1518156,3089901
"290","Argentina","2020",45,1359574,1278269,2637843
"291","Argentina","2020",50,1198262,1103469,2301731
"292","Argentina","2020",55,1119816,1003393,2123209
"293","Argentina","2020",60,1006668,877065,1883733
"294","Argentina","2020",65,899258,745751,1645009
"295","Argentina","2020",70,758347,578876,1337223
"296","Argentina","2020",75,577676,385738,963414
"297","Argentina","2020",80,406456,228228,634684
"298","Argentina","2020",85,251280,113405,364685
"299","Argentina","2020",90,114056,38290,152346
"300","Argentina","2020",95,31843,7981,39824
"301","Australia","2020",0,812208,857499,1669707
"302","Australia","2020",5,798241,841026,1639267
"303","Australia","2020",10,784728,825846,1610574
"304","Australia","2020",15,742431,777475,1519906
"305","Australia","2020",20,783346,811222,1594568
"306","Australia","2020",25,871181,909705,1780886
"307","Australia","2020",30,935876,939585,1875461
"308","Australia","2020",35,921292,921591,1842883
"309","Australia","2020",40,818343,810368,1628711
"310","Australia","2020",45,845813,831536,1677349
"311","Australia","2020",50,789390,768934,1558324
"312","Australia","2020",55,782011,767400,1549411
"313","Australia","2020",60,724814,693712,1418526
"314","Australia","2020",65,630854,601807,1232661
"315","Australia","2020",70,555787,527592,1083379
"316","Australia","2020",75,397186,365811,762997
"317","Australia","2020",80,281672,241273,522945
"318","Australia","2020",85,192294,136756,329050
"319","Australia","2020",90,100294,56263,156557
"320","Australia","2020",95,33495,13224,46719
"321","Austria","2020",0,217802,230364,448166
"322","Austria","2020",5,206020,219996,426016
"323","Austria","2020",10,205043,218795,423838
"324","Austria","2020",15,218866,233504,452370
"325","Austria","2020",20,245500,263261,508761
"326","Austria","2020",25,294550,312066,606616
"327","Austria","2020",30,304547,315827,620374
"328","Austria","2020",35,308423,314619,623042
"329","Austria","2020",40,281246,284438,565684
"330","Austria","2020",45,307276,305305,612581
"331","Austria","2020",50,356193,357250,713443
"332","Austria","2020",55,346719,346838,693557
"333","Austria","2020",60,297693,284670,582363
"334","Austria","2020",65,237002,213955,450957
"335","Austria","2020",70,219951,187337,407288
"336","Austria","2020",75,214616,168533,383149
"337","Austria","2020",80,153112,107116,260228
"338","Austria","2020",85,90259,52214,142473
"339","Austria","2020",90,47474,19835,67309
"340","Austria","2020",95,14417,3768,18185
"341","Bangladesh","2020",0,7007986,7320193,14328179
"342","Bangladesh","2020",5,7167474,7476957,14644431
"343","Bangladesh","2020",10,7381842,7707436,15089278
"344","Bangladesh","2020",15,7609850,7975294,15585144
"345","Bangladesh","2020",20,7496756,7742470,15239226
"346","Bangladesh","2020",25,7268120,7257687,14525807
"347","Bangladesh","2020",30,6984129,6778960,13763089
"348","Bangladesh","2020",35,6477367,6271177,12748544
"349","Bangladesh","2020",40,5671765,5553520,11225285
"350","Bangladesh","2020",45,4707604,4718381,9425985
"351","Bangladesh","2020",50,4040065,4264730,8304795
"352","Bangladesh","2020",55,3221413,3479495,6700908
"353","Bangladesh","2020",60,2128534,2371855,4500389
